ID,Date,Day,Group,Temperature,Light,Tank,Aminopeptidase,Glucosidase
e1.3.0,29.06.22,0,3,25,Light,0,0.513210162,-0.008975541
e2.1.0,29.06.22,0,4,25,Light,0,1.035566223,0.00932789
e2.1.0,29.06.22,0,4,25,Light,0,1.156633367,0.688684523
e2.1.0,29.06.22,0,4,25,Light,0,1.130128553,0.257896518
e2.2.0,29.06.22,0,5,25,Light,0,0.923177728,-0.015125536
e2.2.0,29.06.22,0,5,25,Light,0,0.787094101,0.024838107
e2.2.0,29.06.22,0,5,25,Light,0,0.926420396,0.044415291
e2.3.0,29.06.22,0,6,25,Light,0,0.67743268,-0.005783162
e2.3.0,29.06.22,0,6,25,Light,0,1.178048156,0.040202142
e2.3.0,29.06.22,0,6,25,Light,0,1.534378661,-0.015047697
e3.1.0,29.06.22,0,7,25,Light,0,2.01497707,-0.01644875
e3.1.0,29.06.22,0,7,25,Light,0,2.543344002,-0.009442683
e3.1.0,29.06.22,0,7,25,Light,0,2.337046016,0.008392915
e3.2.0,29.06.22,0,8,25,Light,0,1.422565026,-0.001422167
e3.2.0,29.06.22,0,8,25,Light,0,3.347748878,-0.001500049
e3.2.0,29.06.22,0,8,25,Light,0,2.81477726,-0.000409682
e3.3.0,29.06.22,0,9,25,Light,0,1.151250659,-0.025553642
e3.3.0,29.06.22,0,9,25,Light,0,3.158464764,0.02889265
e3.3.0,29.06.22,0,9,25,Light,0,1.478988525,0.013301933
e4.1.0,29.06.22,0,10,25,Light,0,1.468838295,1.804470232
e4.1.0,29.06.22,0,10,25,Light,0,0.476932232,0.464780182
e4.1.0,29.06.22,0,10,25,Light,0,0.761613363,0.234607782
e4.2.0,29.06.22,0,11,25,Light,0,0.883014395,-0.015047697
e4.2.0,29.06.22,0,11,25,Light,0,0.66565619,0.034507743
e4.2.0,29.06.22,0,11,25,Light,0,0.774092126,0.048863292
e4.3.0,29.06.22,0,12,25,Light,0,0.427823628,0.24735087
e4.3.0,29.06.22,0,12,25,Light,0,0.360311055,0.077677871
e4.3.0,29.06.22,0,12,25,Light,0,0.433512888,0.055419719
